,KitchenSinkWater,timestamp
186,NOT_PRESENT,2022-02-04 17:39:42.421000+01:00
187,PRESENT,2022-02-04 18:16:14.781000+01:00
188,NOT_PRESENT,2022-02-04 18:16:38.941000+01:00
189,PRESENT,2022-02-04 18:21:07.189000+01:00
190,NOT_PRESENT,2022-02-04 18:21:10.941000+01:00
191,PRESENT,2022-02-04 18:23:04.545000+01:00
192,NOT_PRESENT,2022-02-04 18:23:08.146000+01:00
193,PRESENT,2022-02-04 18:25:38.595000+01:00
194,NOT_PRESENT,2022-02-04 18:25:48.601000+01:00
195,PRESENT,2022-02-04 18:59:46.790000+01:00
196,NOT_PRESENT,2022-02-04 19:00:04.388000+01:00
197,PRESENT,2022-02-04 19:00:12.428000+01:00
198,NOT_PRESENT,2022-02-04 19:05:51.238000+01:00
199,NOT_PRESENT,2022-02-05 10:23:43.107000+01:00
200,PRESENT,2022-02-05 20:01:16.582000+01:00
201,PRESENT,2022-02-06 10:25:21.805000+01:00
202,NOT_PRESENT,2022-02-06 10:27:27.135000+01:00
203,PRESENT,2022-02-06 13:58:19.817000+01:00
204,NOT_PRESENT,2022-02-06 13:58:23.383000+01:00
205,PRESENT,2022-02-06 14:10:42.318000+01:00
206,NOT_PRESENT,2022-02-06 14:10:49.461000+01:00
207,PRESENT,2022-02-06 14:27:26.914000+01:00
208,NOT_PRESENT,2022-02-06 14:27:39.551000+01:00
209,PRESENT,2022-02-06 15:16:30.717000+01:00
210,NOT_PRESENT,2022-02-06 15:16:34.017000+01:00
211,PRESENT,2022-02-06 15:16:44.264000+01:00
212,NOT_PRESENT,2022-02-06 15:16:47.763000+01:00
213,PRESENT,2022-02-06 15:28:57.622000+01:00
214,NOT_PRESENT,2022-02-06 15:29:01.040000+01:00
215,PRESENT,2022-02-06 18:32:03.159000+01:00
216,NOT_PRESENT,2022-02-06 18:32:28.492000+01:00
217,NOT_PRESENT,2022-02-07 08:13:53.390000+01:00
218,NOT_PRESENT,2022-02-07 15:27:45.566000+01:00
219,PRESENT,2022-02-07 15:35:33.382000+01:00
220,NOT_PRESENT,2022-02-07 15:35:40.456000+01:00
221,PRESENT,2022-02-07 15:41:38.041000+01:00
222,NOT_PRESENT,2022-02-07 15:41:41.558000+01:00
223,PRESENT,2022-02-07 16:28:49.542000+01:00
224,NOT_PRESENT,2022-02-07 16:28:52.915000+01:00
225,PRESENT,2022-02-07 16:29:55.237000+01:00
226,NOT_PRESENT,2022-02-07 16:29:58.923000+01:00
227,PRESENT,2022-02-07 17:36:39.462000+01:00
228,NOT_PRESENT,2022-02-07 17:38:04.191000+01:00
229,PRESENT,2022-02-07 18:09:36.731000+01:00
230,NOT_PRESENT,2022-02-07 18:09:42.753000+01:00
231,PRESENT,2022-02-07 18:13:16.820000+01:00
232,NOT_PRESENT,2022-02-07 18:13:37.463000+01:00
233,PRESENT,2022-02-07 18:13:46.432000+01:00
234,NOT_PRESENT,2022-02-07 18:14:25.123000+01:00
235,PRESENT,2022-02-07 18:32:47.176000+01:00
236,NOT_PRESENT,2022-02-07 18:32:50.898000+01:00
237,PRESENT,2022-02-07 18:32:58.087000+01:00
238,NOT_PRESENT,2022-02-07 18:33:01.442000+01:00
239,PRESENT,2022-02-07 19:03:55.033000+01:00
240,NOT_PRESENT,2022-02-07 19:03:58.552000+01:00
0,NOT_PRESENT,2022-02-08 00:14:24.043000+01:00
1,PRESENT,2022-02-08 09:14:24.878000+01:00
2,NOT_PRESENT,2022-02-08 09:14:28.517000+01:00
3,PRESENT,2022-02-08 09:16:02.433000+01:00
4,NOT_PRESENT,2022-02-08 09:16:08.340000+01:00
5,PRESENT,2022-02-08 09:16:15.687000+01:00
6,NOT_PRESENT,2022-02-08 09:16:31.451000+01:00
7,PRESENT,2022-02-08 09:41:40.757000+01:00
8,NOT_PRESENT,2022-02-08 09:41:47.108000+01:00
9,PRESENT,2022-02-08 09:43:34.387000+01:00
10,NOT_PRESENT,2022-02-08 09:43:42.733000+01:00
11,PRESENT,2022-02-08 09:44:38.714000+01:00
12,NOT_PRESENT,2022-02-08 09:44:43.153000+01:00
13,PRESENT,2022-02-08 13:20:53.429000+01:00
14,NOT_PRESENT,2022-02-08 13:43:53.970000+01:00
15,PRESENT,2022-02-08 13:52:27.049000+01:00
16,NOT_PRESENT,2022-02-08 13:52:33.435000+01:00
0,NOT_PRESENT,2022-02-09 03:28:58.837000+01:00
1,PRESENT,2022-02-09 18:40:35.942000+01:00
2,NOT_PRESENT,2022-02-09 18:44:39.029000+01:00
3,PRESENT,2022-02-09 18:45:02.895000+01:00
4,NOT_PRESENT,2022-02-09 18:49:09.111000+01:00
5,PRESENT,2022-02-09 18:51:24.817000+01:00
6,NOT_PRESENT,2022-02-09 18:58:43.418000+01:00
7,PRESENT,2022-02-09 19:00:56.393000+01:00
8,NOT_PRESENT,2022-02-09 19:01:00.372000+01:00
0,PRESENT,2022-02-09 20:51:18.748000+01:00
1,NOT_PRESENT,2022-02-09 20:51:22.460000+01:00
2,NOT_PRESENT,2022-02-10 07:53:38.767000+01:00
3,PRESENT,2022-02-10 16:37:11.212000+01:00
4,NOT_PRESENT,2022-02-10 16:37:16.293000+01:00
5,PRESENT,2022-02-10 19:28:23.201000+01:00
6,NOT_PRESENT,2022-02-10 19:28:29.957000+01:00
0,PRESENT,2022-02-11 07:33:09.324000+01:00
1,NOT_PRESENT,2022-02-11 07:33:13.429000+01:00
2,PRESENT,2022-02-11 07:35:46.391000+01:00
3,NOT_PRESENT,2022-02-11 07:35:50.490000+01:00
4,PRESENT,2022-02-11 07:37:57.671000+01:00
5,NOT_PRESENT,2022-02-11 07:45:57.879000+01:00
6,PRESENT,2022-02-11 11:57:00.660000+01:00
7,NOT_PRESENT,2022-02-11 11:59:41.711000+01:00
8,PRESENT,2022-02-11 12:02:22.106000+01:00
9,NOT_PRESENT,2022-02-11 12:02:27.379000+01:00
10,PRESENT,2022-02-11 12:18:10.846000+01:00
11,NOT_PRESENT,2022-02-11 12:18:14.919000+01:00
12,PRESENT,2022-02-11 13:07:20.719000+01:00
13,NOT_PRESENT,2022-02-11 13:17:47.903000+01:00
14,PRESENT,2022-02-11 13:42:47.508000+01:00
15,NOT_PRESENT,2022-02-11 14:40:36.387000+01:00
16,PRESENT,2022-02-11 15:22:14.291000+01:00
0,NOT_PRESENT,2022-02-11 22:13:13.976000+01:00
1,NOT_PRESENT,2022-02-12 05:04:03.438000+01:00
2,PRESENT,2022-02-12 08:52:52.547000+01:00
3,NOT_PRESENT,2022-02-12 08:52:57.283000+01:00
4,PRESENT,2022-02-12 08:53:37.079000+01:00
5,NOT_PRESENT,2022-02-12 09:14:50.127000+01:00
6,PRESENT,2022-02-12 09:15:21.055000+01:00
7,NOT_PRESENT,2022-02-12 09:15:35.906000+01:00
8,PRESENT,2022-02-12 09:17:50.470000+01:00
9,NOT_PRESENT,2022-02-12 10:53:55.629000+01:00
10,PRESENT,2022-02-12 11:18:20.664000+01:00
11,NOT_PRESENT,2022-02-12 11:23:30.937000+01:00
12,PRESENT,2022-02-12 11:39:17.956000+01:00
13,PRESENT,2022-02-12 16:29:08.060000+01:00
14,NOT_PRESENT,2022-02-12 17:53:41.347000+01:00
15,PRESENT,2022-02-12 18:44:01.772000+01:00
0,NOT_PRESENT,2022-02-13 03:39:15.629000+01:00
1,PRESENT,2022-02-13 08:19:39.548000+01:00
2,NOT_PRESENT,2022-02-13 11:20:20.164000+01:00
3,PRESENT,2022-02-13 11:46:48.130000+01:00
4,NOT_PRESENT,2022-02-13 12:57:57.450000+01:00
5,PRESENT,2022-02-13 12:58:23.329000+01:00
6,NOT_PRESENT,2022-02-13 12:58:36.926000+01:00
7,PRESENT,2022-02-13 12:59:35.492000+01:00
8,NOT_PRESENT,2022-02-13 13:01:22.596000+01:00
9,PRESENT,2022-02-13 13:03:39.704000+01:00
10,NOT_PRESENT,2022-02-13 13:04:33.848000+01:00
11,PRESENT,2022-02-13 13:06:57.467000+01:00
12,NOT_PRESENT,2022-02-13 13:22:23.256000+01:00
13,PRESENT,2022-02-13 13:24:35.168000+01:00
14,NOT_PRESENT,2022-02-13 13:25:02.259000+01:00
15,PRESENT,2022-02-13 13:28:35.883000+01:00
16,NOT_PRESENT,2022-02-13 13:28:39.800000+01:00
17,PRESENT,2022-02-13 13:46:11.019000+01:00
