,0BGuestDoor,timestamp
4,NOT_PRESENT,2022-06-20 17:32:19.380000+02:00
5,PRESENT,2022-06-20 17:57:19.589000+02:00
0,NOT_PRESENT,2022-06-21 11:10:50.705000+02:00
1,PRESENT,2022-06-21 11:10:54.473000+02:00
2,NOT_PRESENT,2022-06-21 11:15:37.612000+02:00
3,PRESENT,2022-06-21 11:16:58.190000+02:00
4,NOT_PRESENT,2022-06-21 11:34:21.387000+02:00
5,PRESENT,2022-06-21 11:34:27.148000+02:00
6,NOT_PRESENT,2022-06-21 12:13:30.273000+02:00
7,PRESENT,2022-06-21 12:13:40.712000+02:00
0,NOT_PRESENT,2022-06-26 17:22:09.292000+02:00
1,PRESENT,2022-06-26 17:23:56.507000+02:00
0,NOT_PRESENT,2022-06-26 21:26:04.863000+02:00
1,PRESENT,2022-06-26 23:03:13.039000+02:00
2,NOT_PRESENT,2022-06-27 10:00:22.033000+02:00
3,PRESENT,2022-06-27 10:00:58.303000+02:00
4,NOT_PRESENT,2022-06-27 20:41:34.318000+02:00
0,PRESENT,2022-06-27 21:12:03.248000+02:00
1,NOT_PRESENT,2022-06-27 21:13:10.660000+02:00
2,PRESENT,2022-06-27 21:27:05.440000+02:00
0,NOT_PRESENT,2022-06-30 23:54:10.782000+02:00
1,PRESENT,2022-07-01 00:23:43.251000+02:00
0,NOT_PRESENT,2022-07-03 21:33:04.242000+02:00
1,PRESENT,2022-07-04 09:32:04.571000+02:00
2,NOT_PRESENT,2022-07-04 14:27:07.790000+02:00
3,PRESENT,2022-07-04 14:35:42.519000+02:00
4,NOT_PRESENT,2022-07-04 14:50:01.273000+02:00
5,PRESENT,2022-07-04 14:51:18.467000+02:00
0,NOT_PRESENT,2022-07-07 09:06:41.152000+02:00
1,PRESENT,2022-07-07 09:08:31.162000+02:00
2,NOT_PRESENT,2022-07-07 09:21:11+02:00
3,PRESENT,2022-07-07 09:21:58.163000+02:00
0,NOT_PRESENT,2022-07-09 10:37:42.066000+02:00
1,PRESENT,2022-07-09 10:37:54.149000+02:00
2,NOT_PRESENT,2022-07-09 14:03:03.908000+02:00
3,PRESENT,2022-07-09 15:21:53.322000+02:00
4,NOT_PRESENT,2022-07-09 15:45:51.142000+02:00
5,PRESENT,2022-07-09 15:46:14.761000+02:00
6,NOT_PRESENT,2022-07-09 15:46:23.772000+02:00
7,PRESENT,2022-07-09 18:14:35.951000+02:00
8,NOT_PRESENT,2022-07-09 18:14:37.517000+02:00
9,PRESENT,2022-07-09 18:16:20.813000+02:00
10,NOT_PRESENT,2022-07-09 18:16:22.393000+02:00
11,PRESENT,2022-07-09 19:20:39.992000+02:00
12,NOT_PRESENT,2022-07-09 19:20:45.259000+02:00
13,PRESENT,2022-07-09 20:01:07.761000+02:00
14,NOT_PRESENT,2022-07-09 20:01:09.331000+02:00
0,PRESENT,2022-07-10 09:17:33.089000+02:00
1,NOT_PRESENT,2022-07-10 20:36:32.836000+02:00
0,PRESENT,2022-07-11 09:29:59.985000+02:00
0,NOT_PRESENT,2022-07-16 10:35:49.388000+02:00
1,PRESENT,2022-07-16 12:00:15.579000+02:00
2,NOT_PRESENT,2022-07-16 14:57:02.579000+02:00
3,PRESENT,2022-07-16 17:11:17.237000+02:00
4,NOT_PRESENT,2022-07-16 19:00:24.302000+02:00
0,PRESENT,2022-07-17 00:20:28.865000+02:00
