,0BRoom,timestamp
323,17.3,2022-01-11 09:38:49.516000+01:00
324,17.35,2022-01-11 09:54:26.652000+01:00
325,17.35,2022-01-11 10:10:03.787000+01:00
326,17.4,2022-01-11 10:25:40.839000+01:00
327,17.65,2022-01-11 10:41:17.751000+01:00
328,17.45,2022-01-11 10:56:54.586000+01:00
329,17.5,2022-01-11 11:12:31.213000+01:00
330,17.5,2022-01-11 11:28:07.997000+01:00
331,17.55,2022-01-11 11:43:44.541000+01:00
332,17.7,2022-01-11 11:59:20.942000+01:00
333,17.6,2022-01-11 12:14:57.111000+01:00
334,17.55,2022-01-11 12:30:33.260000+01:00
335,17.6,2022-01-11 12:46:09.203000+01:00
336,17.65,2022-01-11 13:01:45.164000+01:00
337,17.65,2022-01-11 13:17:20.973000+01:00
338,17.65,2022-01-11 13:32:56.797000+01:00
339,17.65,2022-01-11 13:48:32.497000+01:00
340,17.9,2022-01-11 14:04:08.115000+01:00
341,17.75,2022-01-11 14:19:43.978000+01:00
342,17.7,2022-01-11 14:35:19.702000+01:00
343,17.75,2022-01-11 14:50:55.517000+01:00
344,17.7,2022-01-11 15:06:31.163000+01:00
345,17.5,2022-01-11 15:22:07.613000+01:00
346,17.45,2022-01-11 15:37:44.768000+01:00
347,17.55,2022-01-11 15:53:21.548000+01:00
348,17.55,2022-01-11 16:08:58.052000+01:00
349,17.6,2022-01-11 16:24:34.254000+01:00
350,17.6,2022-01-11 16:40:10.348000+01:00
351,17.75,2022-01-11 16:55:46.344000+01:00
352,17.6,2022-01-11 17:11:22.369000+01:00
353,17.6,2022-01-11 17:26:58.418000+01:00
354,17.65,2022-01-11 17:42:34.492000+01:00
355,17.6,2022-01-11 17:58:10.368000+01:00
356,17.6,2022-01-11 18:13:46.357000+01:00
357,17.6,2022-01-11 18:29:22.241000+01:00
358,17.65,2022-01-11 18:44:58.127000+01:00
359,17.6,2022-01-11 19:00:33.878000+01:00
360,17.65,2022-01-11 19:16:09.567000+01:00
361,17.65,2022-01-11 19:31:45.420000+01:00
362,17.65,2022-01-11 19:47:21.524000+01:00
363,17.65,2022-01-11 20:02:57.532000+01:00
364,17.65,2022-01-11 20:18:33.585000+01:00
365,17.6,2022-01-11 20:34:09.720000+01:00
366,17.6,2022-01-11 20:49:45.964000+01:00
