,1Entrance1,timestamp
403,23.05,2022-01-12 10:57:41.414000+01:00
404,23.2,2022-01-12 11:14:12.999000+01:00
405,23.25,2022-01-12 11:30:44.451000+01:00
406,23.3,2022-01-12 11:45:13.396000+01:00
407,23.35,2022-01-12 12:01:44.269000+01:00
408,23.35,2022-01-12 12:16:12.789000+01:00
409,23.4,2022-01-12 12:32:43.827000+01:00
410,23.45,2022-01-12 12:49:15.150000+01:00
411,23.5,2022-01-12 13:03:43.637000+01:00
412,23.55,2022-01-12 13:20:14.175000+01:00
413,23.75,2022-01-12 13:36:44.279000+01:00
414,23.55,2022-01-12 13:51:12.253000+01:00
415,23.75,2022-01-12 14:07:41.971000+01:00
416,23.85,2022-01-12 14:24:11.973000+01:00
417,23.9,2022-01-12 14:40:41.788000+01:00
418,24.0,2022-01-12 14:57:11.479000+01:00
419,23.9,2022-01-12 15:13:41.663000+01:00
420,23.85,2022-01-12 15:28:09.662000+01:00
421,23.9,2022-01-12 15:44:39.430000+01:00
422,23.85,2022-01-12 16:01:09.313000+01:00
423,23.85,2022-01-12 16:17:39.292000+01:00
424,23.6,2022-01-12 16:34:09.816000+01:00
425,23.5,2022-01-12 16:50:40.665000+01:00
426,23.55,2022-01-12 17:05:09.615000+01:00
427,23.5,2022-01-12 17:21:40.667000+01:00
428,23.6,2022-01-12 17:38:11.861000+01:00
429,23.6,2022-01-12 17:54:43.108000+01:00
430,23.55,2022-01-12 18:11:14.315000+01:00
431,23.7,2022-01-12 18:27:44.945000+01:00
432,23.8,2022-01-12 18:42:13.067000+01:00
433,23.85,2022-01-12 18:58:42.903000+01:00
434,23.75,2022-01-12 19:13:11.282000+01:00
435,23.7,2022-01-12 19:29:41.749000+01:00
436,23.6,2022-01-12 19:46:12.834000+01:00
437,23.4,2022-01-12 20:02:44.478000+01:00
438,23.3,2022-01-12 20:19:16.627000+01:00
439,23.05,2022-01-12 20:35:49.401000+01:00
440,22.85,2022-01-12 20:52:22.571000+01:00
441,22.75,2022-01-12 21:08:56.643000+01:00
442,22.65,2022-01-12 21:25:31.131000+01:00
443,22.65,2022-01-12 21:42:05.811000+01:00
444,22.4,2022-01-12 21:58:40.914000+01:00
445,22.35,2022-01-12 22:13:13.493000+01:00
446,22.2,2022-01-12 22:29:49.389000+01:00
447,22.1,2022-01-12 22:44:22.512000+01:00
448,21.95,2022-01-12 23:00:58.930000+01:00
449,21.85,2022-01-12 23:15:32.877000+01:00
450,21.8,2022-01-12 23:32:09.944000+01:00
451,21.6,2022-01-12 23:46:44.163000+01:00
452,21.55,2022-01-13 00:03:21.315000+01:00
453,21.6,2022-01-13 00:19:58.980000+01:00
454,21.4,2022-01-13 00:36:36.945000+01:00
455,21.3,2022-01-13 00:53:14.916000+01:00
456,21.3,2022-01-13 01:09:53.221000+01:00
457,21.3,2022-01-13 01:26:31.690000+01:00
458,21.35,2022-01-13 01:43:10.068000+01:00
459,21.6,2022-01-13 01:59:47.873000+01:00
460,21.75,2022-01-13 02:14:21.858000+01:00
461,21.8,2022-01-13 02:30:58.080000+01:00
462,21.95,2022-01-13 02:47:34.318000+01:00
