,1GuestRoom,timestamp
302,17.7,2022-01-11 00:23:14.963000+01:00
303,17.65,2022-01-11 00:39:42.670000+01:00
304,17.65,2022-01-11 00:54:03.015000+01:00
305,17.7,2022-01-11 01:10:30.731000+01:00
306,17.7,2022-01-11 01:24:50.991000+01:00
307,17.65,2022-01-11 01:41:18.624000+01:00
308,17.7,2022-01-11 01:55:38.822000+01:00
309,17.75,2022-01-11 02:12:06.506000+01:00
310,17.7,2022-01-11 02:26:26.694000+01:00
311,17.7,2022-01-11 02:42:54.304000+01:00
312,17.65,2022-01-11 02:57:14.249000+01:00
313,17.65,2022-01-11 03:13:41.832000+01:00
314,17.65,2022-01-11 03:28:02.219000+01:00
315,17.6,2022-01-11 03:44:29.998000+01:00
316,17.6,2022-01-11 03:58:50.425000+01:00
317,17.65,2022-01-11 04:15:18.326000+01:00
318,17.65,2022-01-11 04:29:39.063000+01:00
319,17.7,2022-01-11 04:46:06.612000+01:00
320,17.75,2022-01-11 05:00:26.670000+01:00
321,17.7,2022-01-11 05:16:53.859000+01:00
322,17.75,2022-01-11 05:33:21.382000+01:00
323,17.75,2022-01-11 05:47:41.251000+01:00
324,17.95,2022-01-11 06:04:07.918000+01:00
325,17.95,2022-01-11 06:18:27.018000+01:00
326,17.9,2022-01-11 06:34:53.448000+01:00
327,17.95,2022-01-11 06:49:12.730000+01:00
328,17.95,2022-01-11 07:05:39.431000+01:00
329,17.95,2022-01-11 07:19:58.835000+01:00
330,18.2,2022-01-11 07:36:24.809000+01:00
331,18.2,2022-01-11 07:50:43.557000+01:00
332,18.2,2022-01-11 08:07:09.348000+01:00
333,18.3,2022-01-11 08:21:27.860000+01:00
334,18.4,2022-01-11 08:37:52.757000+01:00
335,18.5,2022-01-11 08:52:10.367000+01:00
336,18.55,2022-01-11 09:08:34.942000+01:00
337,18.65,2022-01-11 09:22:52.238000+01:00
338,18.7,2022-01-11 09:39:16.244000+01:00
339,18.9,2022-01-11 09:55:40.021000+01:00
340,19.1,2022-01-11 10:12:02.885000+01:00
341,19.2,2022-01-11 10:28:25.563000+01:00
342,19.3,2022-01-11 10:44:47.754000+01:00
343,19.45,2022-01-11 11:01:09.656000+01:00
344,19.55,2022-01-11 11:17:30.821000+01:00
345,19.65,2022-01-11 11:33:52.296000+01:00
346,19.75,2022-01-11 11:50:13.188000+01:00
347,19.85,2022-01-11 12:06:33.853000+01:00
348,19.95,2022-01-11 12:22:54.289000+01:00
349,20.0,2022-01-11 12:39:14.397000+01:00
350,20.1,2022-01-11 12:55:34.083000+01:00
351,20.15,2022-01-11 13:11:53.423000+01:00
352,20.2,2022-01-11 13:28:12.686000+01:00
353,20.15,2022-01-11 13:44:31.909000+01:00
354,20.1,2022-01-11 14:00:51.509000+01:00
355,20.05,2022-01-11 14:17:11.577000+01:00
356,20.05,2022-01-11 14:33:31.354000+01:00
357,20.0,2022-01-11 14:49:51.095000+01:00
358,19.95,2022-01-11 15:06:11.016000+01:00
359,19.85,2022-01-11 15:22:31.151000+01:00
360,19.7,2022-01-11 15:38:51.921000+01:00
361,19.65,2022-01-11 15:55:12.957000+01:00
362,19.55,2022-01-11 16:11:33.987000+01:00
363,19.5,2022-01-11 16:27:55.357000+01:00
364,19.5,2022-01-11 16:44:17.037000+01:00
365,19.4,2022-01-11 17:00:38.657000+01:00
366,19.4,2022-01-11 17:14:53.690000+01:00
367,19.4,2022-01-11 17:31:15.366000+01:00
368,19.4,2022-01-11 17:47:37.530000+01:00
369,19.4,2022-01-11 18:01:52.738000+01:00
370,19.4,2022-01-11 18:18:14.380000+01:00
371,19.4,2022-01-11 18:34:36.489000+01:00
372,19.4,2022-01-11 18:48:51.621000+01:00
373,19.4,2022-01-11 19:05:13.419000+01:00
374,19.4,2022-01-11 19:19:28.498000+01:00
375,19.45,2022-01-11 19:35:50.126000+01:00
376,19.7,2022-01-11 19:52:11.661000+01:00
377,19.95,2022-01-11 20:08:32.241000+01:00
378,20.15,2022-01-11 20:24:52.175000+01:00
379,20.35,2022-01-11 20:41:11.258000+01:00
380,20.5,2022-01-11 20:57:29.721000+01:00
381,20.45,2022-01-11 21:13:47.929000+01:00
382,20.4,2022-01-11 21:30:06.457000+01:00
383,20.4,2022-01-11 21:46:25.492000+01:00
384,20.3,2022-01-11 22:02:45.949000+01:00
385,20.15,2022-01-11 22:19:02.875000+01:00
386,20.15,2022-01-11 22:35:22.097000+01:00
387,20.0,2022-01-11 22:51:41.639000+01:00
388,19.9,2022-01-11 23:08:02.277000+01:00
389,19.8,2022-01-11 23:24:21.812000+01:00
390,19.75,2022-01-11 23:40:42.547000+01:00
391,19.6,2022-01-11 23:57:03.654000+01:00
392,19.6,2022-01-12 00:13:25.124000+01:00
393,19.45,2022-01-12 00:29:49.291000+01:00
394,19.45,2022-01-12 00:44:04.473000+01:00
395,19.35,2022-01-12 01:00:26.204000+01:00
396,19.3,2022-01-12 01:16:48.119000+01:00
397,19.2,2022-01-12 01:33:10.497000+01:00
398,19.15,2022-01-12 01:49:32.471000+01:00
399,19.1,2022-01-12 02:05:55.348000+01:00
400,19.1,2022-01-12 02:20:10.831000+01:00
401,19.05,2022-01-12 02:36:33.523000+01:00
402,19.05,2022-01-12 02:50:47.341000+01:00
403,18.95,2022-01-12 03:07:10.124000+01:00
404,18.9,2022-01-12 03:23:33.592000+01:00
405,18.9,2022-01-12 03:39:57.173000+01:00
406,18.8,2022-01-12 03:54:13.895000+01:00
407,18.7,2022-01-12 04:10:37.441000+01:00
408,18.7,2022-01-12 04:24:54.735000+01:00
409,18.65,2022-01-12 04:41:20.083000+01:00
410,18.65,2022-01-12 04:55:35.192000+01:00
411,18.6,2022-01-12 05:11:59.716000+01:00
412,18.6,2022-01-12 05:26:17.162000+01:00
413,18.55,2022-01-12 05:42:41.577000+01:00
414,18.5,2022-01-12 05:59:06.397000+01:00
415,18.5,2022-01-12 06:13:24.062000+01:00
416,18.5,2022-01-12 06:29:49.033000+01:00
417,18.55,2022-01-12 06:44:06.973000+01:00
418,18.8,2022-01-12 07:00:31.031000+01:00
419,18.85,2022-01-12 07:14:47.932000+01:00
420,18.85,2022-01-12 07:31:11.427000+01:00
421,18.8,2022-01-12 07:47:37.036000+01:00
422,18.8,2022-01-12 08:03:58.821000+01:00
423,18.7,2022-01-12 08:18:15.574000+01:00
424,18.7,2022-01-12 08:34:40.101000+01:00
425,18.65,2022-01-12 08:48:56.800000+01:00
426,18.65,2022-01-12 09:05:20.936000+01:00
427,18.65,2022-01-12 09:21:45.428000+01:00
428,18.55,2022-01-12 09:38:10.067000+01:00
429,18.5,2022-01-12 09:54:35.126000+01:00
430,18.4,2022-01-12 10:08:52.897000+01:00
431,18.35,2022-01-12 10:25:18.301000+01:00
432,18.35,2022-01-12 10:41:43.118000+01:00
433,18.25,2022-01-12 10:56:01.748000+01:00
434,18.25,2022-01-12 11:12:26.656000+01:00
435,18.25,2022-01-12 11:26:46.757000+01:00
436,18.2,2022-01-12 11:43:12.178000+01:00
437,18.2,2022-01-12 11:57:30.614000+01:00
438,18.15,2022-01-12 12:13:55.948000+01:00
439,18.2,2022-01-12 12:28:14.029000+01:00
440,18.2,2022-01-12 12:44:39.241000+01:00
