,2OfficeDoor,timestamp
3,NOT_PRESENT,2022-02-12 11:00:03.978000+01:00
4,PRESENT,2022-02-12 11:34:21.478000+01:00
5,NOT_PRESENT,2022-02-12 15:19:03.570000+01:00
6,PRESENT,2022-02-12 15:25:50.100000+01:00
7,NOT_PRESENT,2022-02-12 15:26:30.827000+01:00
8,PRESENT,2022-02-12 15:27:39.002000+01:00
9,NOT_PRESENT,2022-02-12 15:27:53.552000+01:00
10,PRESENT,2022-02-12 15:45:16.622000+01:00
11,NOT_PRESENT,2022-02-12 15:45:32.512000+01:00
12,PRESENT,2022-02-12 15:45:49.326000+01:00
13,NOT_PRESENT,2022-02-12 15:49:33.548000+01:00
14,PRESENT,2022-02-12 16:03:34.378000+01:00
15,NOT_PRESENT,2022-02-12 16:48:49.084000+01:00
16,PRESENT,2022-02-12 16:49:07.149000+01:00
17,NOT_PRESENT,2022-02-12 18:37:52.977000+01:00
0,PRESENT,2022-02-12 23:07:51.145000+01:00
1,NOT_PRESENT,2022-02-12 23:13:08.624000+01:00
2,PRESENT,2022-02-13 08:03:37.730000+01:00
3,NOT_PRESENT,2022-02-13 09:39:32.303000+01:00
4,PRESENT,2022-02-13 09:40:13.755000+01:00
5,NOT_PRESENT,2022-02-13 09:53:07.644000+01:00
6,PRESENT,2022-02-13 10:00:32.222000+01:00
7,NOT_PRESENT,2022-02-13 10:00:45.619000+01:00
8,PRESENT,2022-02-13 12:37:03.592000+01:00
9,NOT_PRESENT,2022-02-13 12:37:39.668000+01:00
0,PRESENT,2022-02-14 16:36:32.431000+01:00
1,NOT_PRESENT,2022-02-14 17:28:33.001000+01:00
0,PRESENT,2022-02-14 21:34:53.560000+01:00
1,NOT_PRESENT,2022-02-14 22:36:27.387000+01:00
2,PRESENT,2022-02-15 00:02:49.409000+01:00
3,NOT_PRESENT,2022-02-15 08:15:00.420000+01:00
4,PRESENT,2022-02-15 08:15:25.748000+01:00
5,NOT_PRESENT,2022-02-15 14:52:13.935000+01:00
6,PRESENT,2022-02-15 14:52:28.200000+01:00
0,NOT_PRESENT,2022-02-15 21:04:59.599000+01:00
1,PRESENT,2022-02-15 21:05:09.641000+01:00
2,NOT_PRESENT,2022-02-15 21:05:28.365000+01:00
3,PRESENT,2022-02-15 21:05:45.806000+01:00
4,NOT_PRESENT,2022-02-15 22:05:00.077000+01:00
5,PRESENT,2022-02-15 22:05:23.933000+01:00
6,NOT_PRESENT,2022-02-15 22:55:07.536000+01:00
7,PRESENT,2022-02-15 22:55:30.700000+01:00
8,NOT_PRESENT,2022-02-16 08:45:42.054000+01:00
9,PRESENT,2022-02-16 08:45:43.680000+01:00
10,NOT_PRESENT,2022-02-16 09:00:54.252000+01:00
11,PRESENT,2022-02-16 09:10:21.908000+01:00
12,NOT_PRESENT,2022-02-16 09:10:50.041000+01:00
13,PRESENT,2022-02-16 12:53:41.348000+01:00
14,NOT_PRESENT,2022-02-16 12:54:44.474000+01:00
15,PRESENT,2022-02-16 12:55:11.054000+01:00
16,NOT_PRESENT,2022-02-16 14:45:29.790000+01:00
17,PRESENT,2022-02-16 17:54:25.974000+01:00
18,NOT_PRESENT,2022-02-16 18:24:34.306000+01:00
0,PRESENT,2022-02-17 11:14:30.008000+01:00
1,NOT_PRESENT,2022-02-17 11:33:31.260000+01:00
0,PRESENT,2022-02-18 18:20:31.324000+01:00
1,NOT_PRESENT,2022-02-18 18:32:57.041000+01:00
0,PRESENT,2022-02-19 10:31:43.326000+01:00
1,NOT_PRESENT,2022-02-19 18:34:28.221000+01:00
2,PRESENT,2022-02-19 18:34:35.630000+01:00
0,NOT_PRESENT,2022-02-20 08:39:08.854000+01:00
1,PRESENT,2022-02-20 08:39:40.239000+01:00
2,NOT_PRESENT,2022-02-20 11:45:43.899000+01:00
3,PRESENT,2022-02-20 13:40:16.900000+01:00
4,NOT_PRESENT,2022-02-20 14:35:44.151000+01:00
5,PRESENT,2022-02-20 14:36:00.854000+01:00
6,NOT_PRESENT,2022-02-20 15:04:39.120000+01:00
7,PRESENT,2022-02-20 15:54:45.256000+01:00
0,NOT_PRESENT,2022-02-21 07:47:30.717000+01:00
1,PRESENT,2022-02-21 07:47:51.135000+01:00
2,NOT_PRESENT,2022-02-21 08:44:12.745000+01:00
3,PRESENT,2022-02-21 09:03:57.364000+01:00
4,NOT_PRESENT,2022-02-21 09:07:04.360000+01:00
5,PRESENT,2022-02-21 09:07:14.446000+01:00
6,NOT_PRESENT,2022-02-21 09:13:00.688000+01:00
7,PRESENT,2022-02-21 09:30:48.046000+01:00
8,NOT_PRESENT,2022-02-21 13:36:06.776000+01:00
9,PRESENT,2022-02-21 13:36:17.638000+01:00
10,NOT_PRESENT,2022-02-21 15:53:51.267000+01:00
11,PRESENT,2022-02-21 15:54:32.106000+01:00
0,NOT_PRESENT,2022-02-21 20:41:44.651000+01:00
1,PRESENT,2022-02-21 20:41:46.893000+01:00
2,NOT_PRESENT,2022-02-22 08:27:30.981000+01:00
3,PRESENT,2022-02-22 08:27:44.756000+01:00
4,NOT_PRESENT,2022-02-22 09:57:25.306000+01:00
5,PRESENT,2022-02-22 10:31:51.183000+01:00
6,NOT_PRESENT,2022-02-22 11:47:57.123000+01:00
7,PRESENT,2022-02-22 11:48:19.173000+01:00
8,NOT_PRESENT,2022-02-22 13:45:26.243000+01:00
9,PRESENT,2022-02-22 13:45:46.915000+01:00
10,NOT_PRESENT,2022-02-22 14:50:11.012000+01:00
11,PRESENT,2022-02-22 15:47:53.572000+01:00
12,NOT_PRESENT,2022-02-22 18:17:19.220000+01:00
13,PRESENT,2022-02-22 18:20:21.860000+01:00
14,NOT_PRESENT,2022-02-22 18:51:32.557000+01:00
15,PRESENT,2022-02-22 18:51:41.261000+01:00
16,NOT_PRESENT,2022-02-22 19:05:28.108000+01:00
17,PRESENT,2022-02-22 19:26:38.417000+01:00
0,NOT_PRESENT,2022-02-23 09:31:10.949000+01:00
1,PRESENT,2022-02-23 09:31:23.323000+01:00
2,NOT_PRESENT,2022-02-23 10:52:03.666000+01:00
3,PRESENT,2022-02-23 11:03:44.929000+01:00
4,NOT_PRESENT,2022-02-23 12:31:34.453000+01:00
5,PRESENT,2022-02-23 12:31:52.101000+01:00
6,NOT_PRESENT,2022-02-23 12:32:38.247000+01:00
7,PRESENT,2022-02-23 12:52:25.899000+01:00
8,NOT_PRESENT,2022-02-23 17:16:13.713000+01:00
9,PRESENT,2022-02-23 17:42:31.351000+01:00
0,NOT_PRESENT,2022-02-24 12:07:25.187000+01:00
1,PRESENT,2022-02-24 15:39:28.902000+01:00
2,NOT_PRESENT,2022-02-24 18:12:46.199000+01:00
0,PRESENT,2022-02-25 09:50:46.718000+01:00
1,NOT_PRESENT,2022-02-25 09:52:40.541000+01:00
2,PRESENT,2022-02-25 10:01:48.083000+01:00
3,NOT_PRESENT,2022-02-25 10:48:32.554000+01:00
4,PRESENT,2022-02-25 10:48:36.701000+01:00
5,NOT_PRESENT,2022-02-25 10:56:35.076000+01:00
6,PRESENT,2022-02-25 16:14:41.183000+01:00
7,NOT_PRESENT,2022-02-25 17:19:06.951000+01:00
0,PRESENT,2022-02-26 11:16:14.973000+01:00
1,NOT_PRESENT,2022-02-26 16:19:52.150000+01:00
2,PRESENT,2022-02-26 16:33:02.489000+01:00
3,NOT_PRESENT,2022-02-26 16:40:06.301000+01:00
4,PRESENT,2022-02-26 16:53:18.884000+01:00
5,NOT_PRESENT,2022-02-26 17:11:22.291000+01:00
6,PRESENT,2022-02-26 17:31:31.207000+01:00
0,NOT_PRESENT,2022-02-27 08:12:59.316000+01:00
1,PRESENT,2022-02-27 08:24:39.283000+01:00
2,NOT_PRESENT,2022-02-27 08:31:07.525000+01:00
0,PRESENT,2022-02-28 18:29:21.604000+01:00
0,NOT_PRESENT,2022-02-28 20:28:30.965000+01:00
1,PRESENT,2022-03-01 17:30:19.128000+01:00
2,NOT_PRESENT,2022-03-01 17:31:53.230000+01:00
3,PRESENT,2022-03-01 17:32:00.578000+01:00
4,NOT_PRESENT,2022-03-01 19:55:14.378000+01:00
0,PRESENT,2022-03-04 19:25:06.868000+01:00
1,NOT_PRESENT,2022-03-04 19:28:13.284000+01:00
0,PRESENT,2022-03-05 13:22:29.681000+01:00
1,NOT_PRESENT,2022-03-05 14:20:12.320000+01:00
0,PRESENT,2022-03-06 14:02:31.406000+01:00
1,NOT_PRESENT,2022-03-06 14:02:56.516000+01:00
0,PRESENT,2022-03-07 07:58:56.689000+01:00
1,NOT_PRESENT,2022-03-07 08:00:32.023000+01:00
2,PRESENT,2022-03-07 08:00:36.183000+01:00
0,NOT_PRESENT,2022-03-08 09:30:20.634000+01:00
1,PRESENT,2022-03-08 09:30:23.614000+01:00
2,NOT_PRESENT,2022-03-08 09:47:17.699000+01:00
3,PRESENT,2022-03-08 19:16:20.460000+01:00
0,NOT_PRESENT,2022-03-09 00:08:43.725000+01:00
1,PRESENT,2022-03-09 14:09:47.990000+01:00
2,NOT_PRESENT,2022-03-09 15:47:11.380000+01:00
0,PRESENT,2022-03-10 13:46:48.793000+01:00
1,NOT_PRESENT,2022-03-10 15:25:02.885000+01:00
2,PRESENT,2022-03-10 15:25:15.590000+01:00
3,NOT_PRESENT,2022-03-10 16:47:33.863000+01:00
4,PRESENT,2022-03-10 16:47:45.916000+01:00
5,NOT_PRESENT,2022-03-10 18:01:39.466000+01:00
6,PRESENT,2022-03-10 19:40:22.078000+01:00
0,NOT_PRESENT,2022-03-10 21:02:18.540000+01:00
1,PRESENT,2022-03-10 21:16:43.511000+01:00
2,NOT_PRESENT,2022-03-11 01:29:26.795000+01:00
3,PRESENT,2022-03-11 01:29:34.847000+01:00
4,NOT_PRESENT,2022-03-11 09:54:08.095000+01:00
0,PRESENT,2022-03-12 07:55:01.506000+01:00
1,NOT_PRESENT,2022-03-12 08:31:37.896000+01:00
2,PRESENT,2022-03-12 08:31:50.151000+01:00
3,NOT_PRESENT,2022-03-12 09:09:20.555000+01:00
0,PRESENT,2022-03-13 15:05:27.293000+01:00
1,NOT_PRESENT,2022-03-13 18:38:45.836000+01:00
2,PRESENT,2022-03-13 18:51:29.237000+01:00
3,NOT_PRESENT,2022-03-13 18:52:18.876000+01:00
4,PRESENT,2022-03-13 18:52:34.903000+01:00
5,NOT_PRESENT,2022-03-13 19:31:47.773000+01:00
0,PRESENT,2022-03-14 09:18:05.266000+01:00
1,NOT_PRESENT,2022-03-14 12:12:04.571000+01:00
2,PRESENT,2022-03-14 12:13:08.777000+01:00
3,NOT_PRESENT,2022-03-14 16:39:20.848000+01:00
4,PRESENT,2022-03-14 16:45:58.084000+01:00
5,NOT_PRESENT,2022-03-14 16:46:22.342000+01:00
6,PRESENT,2022-03-14 16:46:27.231000+01:00
7,NOT_PRESENT,2022-03-14 17:26:17.645000+01:00
0,PRESENT,2022-03-16 12:09:41.648000+01:00
1,NOT_PRESENT,2022-03-16 15:20:02.724000+01:00
2,PRESENT,2022-03-16 16:11:34.465000+01:00
3,NOT_PRESENT,2022-03-16 17:15:42.431000+01:00
4,PRESENT,2022-03-16 18:04:14.995000+01:00
5,NOT_PRESENT,2022-03-16 18:07:58.273000+01:00
6,PRESENT,2022-03-16 18:36:42.855000+01:00
0,NOT_PRESENT,2022-03-16 20:54:53.690000+01:00
1,PRESENT,2022-03-16 22:21:32.353000+01:00
2,NOT_PRESENT,2022-03-17 07:13:38.426000+01:00
3,PRESENT,2022-03-17 07:13:47.821000+01:00
4,NOT_PRESENT,2022-03-17 08:03:12.834000+01:00
5,PRESENT,2022-03-17 11:21:32.421000+01:00
6,NOT_PRESENT,2022-03-17 13:04:34.798000+01:00
0,PRESENT,2022-03-18 07:07:47.901000+01:00
1,NOT_PRESENT,2022-03-18 08:17:19.891000+01:00
2,PRESENT,2022-03-18 08:25:37.458000+01:00
