,2Fireplace,timestamp
494,21.85,2022-01-13 08:40:58.538000+01:00
495,22.1,2022-01-13 08:56:57.581000+01:00
496,21.7,2022-01-13 09:12:57.605000+01:00
497,21.4,2022-01-13 09:28:58.644000+01:00
498,21.2,2022-01-13 09:45:00.151000+01:00
499,21.1,2022-01-13 10:01:01.955000+01:00
500,21.0,2022-01-13 10:17:04.150000+01:00
501,20.95,2022-01-13 10:33:06.813000+01:00
502,20.95,2022-01-13 10:49:09.455000+01:00
503,20.9,2022-01-13 11:05:12.140000+01:00
504,20.85,2022-01-13 11:21:14.907000+01:00
505,20.75,2022-01-13 11:37:18.019000+01:00
506,20.85,2022-01-13 11:53:21.240000+01:00
507,21.85,2022-01-13 12:09:23.223000+01:00
508,22.2,2022-01-13 12:25:22.367000+01:00
509,21.95,2022-01-13 12:41:21.944000+01:00
510,21.7,2022-01-13 12:57:22.046000+01:00
511,21.75,2022-01-13 13:13:22.539000+01:00
512,21.6,2022-01-13 13:29:23.051000+01:00
513,21.5,2022-01-13 13:45:24.127000+01:00
514,21.55,2022-01-13 14:01:23.998000+01:00
515,21.45,2022-01-13 14:17:24.717000+01:00
516,21.35,2022-01-13 14:33:25.865000+01:00
517,21.4,2022-01-13 14:49:27.100000+01:00
518,21.4,2022-01-13 15:05:28.358000+01:00
519,21.3,2022-01-13 15:21:29.853000+01:00
520,21.2,2022-01-13 15:37:31.595000+01:00
521,21.2,2022-01-13 15:53:33.487000+01:00
522,21.95,2022-01-13 16:09:34.869000+01:00
523,22.9,2022-01-13 16:25:33.250000+01:00
524,22.65,2022-01-13 16:41:30.384000+01:00
525,22.45,2022-01-13 16:57:28.295000+01:00
526,22.35,2022-01-13 17:13:26.509000+01:00
527,22.35,2022-01-13 17:29:24.981000+01:00
528,22.4,2022-01-13 17:45:24.279000+01:00
529,22.3,2022-01-13 18:01:22.373000+01:00
530,22.3,2022-01-13 18:17:20.935000+01:00
531,22.05,2022-01-13 18:33:19.855000+01:00
532,22.0,2022-01-13 18:49:19.103000+01:00
533,21.95,2022-01-13 19:05:18.565000+01:00
534,21.9,2022-01-13 19:21:18.277000+01:00
535,21.8,2022-01-13 19:37:18.131000+01:00
