,1MainDoor,timestamp
384,NOT_PRESENT,2022-02-01 12:29:10.438000+01:00
385,PRESENT,2022-02-01 12:29:20.002000+01:00
386,NOT_PRESENT,2022-02-01 14:27:14.742000+01:00
387,PRESENT,2022-02-01 14:27:20.914000+01:00
388,NOT_PRESENT,2022-02-01 17:20:57.101000+01:00
389,PRESENT,2022-02-01 17:21:00.810000+01:00
390,NOT_PRESENT,2022-02-01 17:21:54.168000+01:00
391,PRESENT,2022-02-01 17:21:58.551000+01:00
392,NOT_PRESENT,2022-02-02 07:25:53.310000+01:00
393,PRESENT,2022-02-02 07:25:56.117000+01:00
394,NOT_PRESENT,2022-02-02 07:27:36.185000+01:00
395,PRESENT,2022-02-02 07:27:43.944000+01:00
396,NOT_PRESENT,2022-02-02 08:17:05.803000+01:00
397,PRESENT,2022-02-02 08:17:08.610000+01:00
398,NOT_PRESENT,2022-02-02 08:17:34.029000+01:00
399,PRESENT,2022-02-02 08:17:37.392000+01:00
400,NOT_PRESENT,2022-02-02 08:22:15.076000+01:00
401,PRESENT,2022-02-02 08:22:18.442000+01:00
402,NOT_PRESENT,2022-02-02 10:19:01.656000+01:00
403,PRESENT,2022-02-02 10:19:05.925000+01:00
404,NOT_PRESENT,2022-02-02 14:51:08.164000+01:00
405,PRESENT,2022-02-02 14:51:13.923000+01:00
406,NOT_PRESENT,2022-02-02 17:06:58.843000+01:00
407,PRESENT,2022-02-02 17:07:03.644000+01:00
408,NOT_PRESENT,2022-02-02 17:08:28.933000+01:00
409,PRESENT,2022-02-02 17:08:32.641000+01:00
410,NOT_PRESENT,2022-02-02 17:17:20.028000+01:00
411,PRESENT,2022-02-02 17:17:23.387000+01:00
412,NOT_PRESENT,2022-02-02 19:41:51.988000+01:00
413,PRESENT,2022-02-02 19:42:04.681000+01:00
414,NOT_PRESENT,2022-02-02 19:43:35.114000+01:00
415,PRESENT,2022-02-02 19:43:53.223000+01:00
416,NOT_PRESENT,2022-02-03 00:31:12.322000+01:00
417,PRESENT,2022-02-03 00:31:15.685000+01:00
418,NOT_PRESENT,2022-02-03 00:31:36.088000+01:00
419,PRESENT,2022-02-03 00:31:40.315000+01:00
420,NOT_PRESENT,2022-02-03 17:34:57.539000+01:00
421,PRESENT,2022-02-03 17:35:05.907000+01:00
422,NOT_PRESENT,2022-02-03 18:18:37.030000+01:00
423,PRESENT,2022-02-03 18:18:44.724000+01:00
424,NOT_PRESENT,2022-02-03 18:20:36.846000+01:00
425,PRESENT,2022-02-03 18:20:40.213000+01:00
426,NOT_PRESENT,2022-02-03 18:22:45.567000+01:00
427,PRESENT,2022-02-03 18:22:50.650000+01:00
428,NOT_PRESENT,2022-02-03 20:28:06.154000+01:00
429,PRESENT,2022-02-03 20:28:36.037000+01:00
430,NOT_PRESENT,2022-02-04 16:23:37.530000+01:00
431,PRESENT,2022-02-04 16:23:40.593000+01:00
432,NOT_PRESENT,2022-02-04 16:53:05.079000+01:00
433,PRESENT,2022-02-04 16:53:10.141000+01:00
434,NOT_PRESENT,2022-02-05 11:24:11.189000+01:00
435,PRESENT,2022-02-05 11:26:10.765000+01:00
436,NOT_PRESENT,2022-02-05 18:42:30.214000+01:00
437,PRESENT,2022-02-05 18:46:11.571000+01:00
438,NOT_PRESENT,2022-02-05 20:19:02.714000+01:00
439,PRESENT,2022-02-05 20:19:06.180000+01:00
440,NOT_PRESENT,2022-02-05 22:04:18.515000+01:00
441,PRESENT,2022-02-05 22:04:35.344000+01:00
442,NOT_PRESENT,2022-02-06 11:50:06.345000+01:00
443,PRESENT,2022-02-06 11:51:03.206000+01:00
444,NOT_PRESENT,2022-02-06 11:59:36.026000+01:00
445,PRESENT,2022-02-06 11:59:41.098000+01:00
446,NOT_PRESENT,2022-02-06 13:30:42.126000+01:00
447,PRESENT,2022-02-06 13:30:44.936000+01:00
448,NOT_PRESENT,2022-02-06 13:49:05.615000+01:00
449,PRESENT,2022-02-06 13:49:10.673000+01:00
450,NOT_PRESENT,2022-02-06 14:31:31.692000+01:00
451,PRESENT,2022-02-06 14:33:20.494000+01:00
452,NOT_PRESENT,2022-02-06 18:12:13.566000+01:00
453,PRESENT,2022-02-06 18:14:31.370000+01:00
454,NOT_PRESENT,2022-02-07 07:48:15.261000+01:00
455,PRESENT,2022-02-07 07:48:20.615000+01:00
456,NOT_PRESENT,2022-02-07 08:23:12.879000+01:00
457,PRESENT,2022-02-07 08:23:17.273000+01:00
458,NOT_PRESENT,2022-02-07 14:03:52.473000+01:00
459,PRESENT,2022-02-07 14:04:53.196000+01:00
460,NOT_PRESENT,2022-02-07 14:06:12.072000+01:00
461,PRESENT,2022-02-07 14:06:17.208000+01:00
462,NOT_PRESENT,2022-02-07 16:42:07.753000+01:00
463,PRESENT,2022-02-07 16:42:22.050000+01:00
