"WindPower";"PVPower"
"R944";160.642;0
"R945";125.91;3.604
"R946";118.527;11.121
"R947";140.772;24.661
"R948";189.385;34.819
"R949";195.161;31.014
"R950";221.82;20.082
"R951";253.68;5.063
"R952";291.594;0
"R953";266.144;0
"R954";265.473;0
"R955";261.666;0
"R956";222.411;0
"R957";151.989;0
"R958";73.584;0
"R959";28.934;0
"R960";16.458;0
"R961";8.946;0
"R962";22.201;0
"R963";66.423;0
"R964";199.157;0
"R965";316.667;0
"R966";359.018;0
"R967";363.464;0
"R968";383.488;17.246
"R969";354.792;70.018
"R970";357.676;111.205
"R971";397.891;137.768
"R972";432.607;150.77
"R973";428.625;155.564
"R974";400.367;128.618
"R975";438.452;60.207
"R976";539.689;3.772
"R977";551.02;0
"R978";545.38;0
"R979";573.923;0
"R980";534.419;0
"R981";539.241;0
"R982";539.291;0
"R983";704.983;0
"R984";800.979;0
"R985";814.545;0
"R986";844.579;0
"R987";790.119;0
"R988";850.049;0
"R989";907.794;0
"R990";771.124;0
"R991";733.841;0
"R992";699.003;198.19
"R993";650.279;440.69
"R994";681.239;595.493
"R995";767.603;701.3
"R996";951.886;693.046
"R997";962.067;628.103
"R998";907.808;500.503
"R999";894.049;282.644
"R1000";1008.046;32.327
"R1001";977.342;0
"R1002";776.849;0
"R1003";760.609;0
"R1004";787.906;0
"R1005";807.001;0
"R1006";814.538;0
"R1007";882.995;0
"R1008";790.161;0
"R1009";715.298;0
"R1010";622.455;0
"R1011";592.554;0
"R1012";604.955;0
"R1013";644.792;0
"R1014";658.651;0
"R1015";599.925;0
"R1016";570.246;191.242
"R1017";568.128;284.765
"R1018";721.697;250.375
"R1019";738.265;165.111
"R1020";836.335;83.598
"R1021";814.549;55.206
"R1022";801.004;27.259
"R1023";825.208;9.582
"R1024";782.836;0
"R1025";728.503;0
"R1026";675.178;0
"R1027";624.345;0
"R1028";565.495;0
"R1029";522.528;0
"R1030";474.791;0
"R1031";443.699;0
"R1032";405.369;0
"R1033";385.183;0
"R1034";351.953;0
"R1035";324.843;0
"R1036";316.518;0
"R1037";308.957;0
"R1038";287.215;0
"R1039";264.097;0
"R1040";230.616;9.67
"R1041";191.466;38.458
"R1042";149.444;88.105
"R1043";128.711;141.598
"R1044";109.345;142.523
"R1045";91.157;104.154
"R1046";70.602;71.564
"R1047";55.291;38.349
"R1048";45.659;5.485
"R1049";45.25;0
"R1050";42.422;0
"R1051";40.449;0
"R1052";37.962;0
"R1053";36.661;0
"R1054";48.908;0
"R1055";81.743;0
"R1056";146.773;0
"R1057";222.002;0
"R1058";226.583;0
"R1059";203.663;0
"R1060";178.28;0
"R1061";194.628;0
"R1062";214.445;0
"R1063";235.4;0
"R1064";221.755;339.414
"R1065";156.698;621.693
"R1066";150.641;730.145
"R1067";156.545;763.358
"R1068";159.621;742.436
"R1069";157.79;644.549
"R1070";157.76;564.963
"R1071";171.595;323.739
"R1072";269.323;73.555
"R1073";406.342;0
"R1074";439.602;0
"R1075";440.117;0
"R1076";422.91;0
"R1077";410.072;0
