"Year";"IsDayBin";"Month";"WindSpeed";"IrrDirect";"IrrDiffuse";"Temperature";"Percipitation";"SnowFlow";"SnowMass";"AirDensity";"RadSurface";"RadTop";"CloudCover"
"R25673";2018;Night;12;5.601;0;0;-4.697;0.007;0.005;3.861;1.274;0;0;0.381
"R25674";2018;Night;12;5.342;0;0;-4.418;0.014;0.008;3.868;1.273;0;0;0.506
"R25675";2018;Night;12;5.038;0;0;-4.203;0.001;0.001;3.872;1.272;0;0;0.652
"R25676";2018;Night;12;4.754;0;0;-3.997;0.003;0.003;3.875;1.272;0;0;0.805
"R25677";2018;Night;12;4.66;0;0;-3.775;0.002;0.002;3.878;1.271;0;0;0.927
"R25678";2018;Night;12;4.133;0;0;-3.673;0.003;0.002;3.88;1.271;0;0;0.978
"R25679";2018;Night;12;3.708;0;0;-3.285;0.003;0.002;3.882;1.27;0;0;0.989
"R25680";2018;Night;12;3.357;0;0;-3.038;0.002;0.002;3.884;1.27;0;0;0.995
"R25681";2018;Night;12;3.07;0;0;-2.879;0.002;0.001;3.885;1.269;0;0;0.994
"R25682";2018;Night;12;2.957;0;0;-2.957;0.001;0.001;3.886;1.269;0;0;0.856
"R25683";2018;Night;12;2.902;0;0;-3.406;0.001;0;3.887;1.269;0;0;0.355
"R25684";2018;Night;12;3.184;0;0;-3.955;0.001;0;3.887;1.27;0;0;0.167
"R25685";2018;Night;12;3.431;0;0;-4.283;0.001;0;3.888;1.271;0;0;0.138
"R25686";2018;Night;12;3.334;0;0;-4.387;0.002;0.001;3.889;1.272;0;0;0.179
"R25687";2018;Night;12;3.335;0;0;-4.478;0.004;0.003;3.891;1.273;0;0;0.224
"R25688";2018;Night;12;3.54;0;0;-4.868;0.005;0.004;3.895;1.274;0;0;0.279
"R25689";2018;Day;12;3.644;0.02;0.005;-5.07;0.008;0.007;3.901;1.275;8.291;26.34;0.727
"R25690";2018;Day;12;3.253;0.032;0.022;-4.453;0.015;0.014;3.911;1.275;37.442;115.15;0.945
"R25691";2018;Day;12;3.065;0.018;0.028;-3.853;0.017;0.011;3.921;1.274;44.733;170.821;0.989
"R25692";2018;Day;12;2.964;0.009;0.023;-3.266;0.022;0.017;3.934;1.272;36.502;183.261;0.996
"R25693";2018;Day;12;3.077;0.005;0.015;-2.954;0.028;0.024;3.953;1.269;23.473;151.614;0.997
"R25694";2018;Day;12;3.481;0.003;0.006;-2.867;0.036;0.031;3.979;1.267;9.402;78.085;0.998
"R25695";2018;Day;12;3.902;0;0;-2.858;0.047;0.043;4.015;1.265;0.181;3.722;0.998
"R25696";2018;Night;12;4.069;0;0;-2.738;0.112;0.1;4.082;1.263;0;0;0.998
"R25697";2018;Night;12;4.281;0;0;-2.634;0.36;0.31;4.28;1.262;0;0;0.996
"R25698";2018;Night;12;4.358;0;0;-2.637;0.781;0.778;4.849;1.26;0;0;0.996
"R25699";2018;Night;12;4.53;0;0;-2.659;0.88;0.877;5.695;1.259;0;0;0.997
"R25700";2018;Night;12;4.747;0;0;-2.634;0.953;0.95;6.615;1.257;0;0;0.995
"R25701";2018;Night;12;4.798;0;0;-2.586;1.02;1.018;7.602;1.256;0;0;0.988
"R25702";2018;Night;12;4.737;0;0;-2.609;1.002;1.001;8.621;1.254;0;0;0.978
"R25703";2018;Night;12;4.648;0;0;-2.658;0.753;0.753;9.512;1.253;0;0;0.905
"R25704";2018;Night;12;4.417;0;0;-2.803;0.335;0.335;10.027;1.252;0;0;0.765
"R25705";2018;Night;12;4.301;0;0;-3.29;0.084;0.083;10.204;1.251;0;0;0.604
"R25706";2018;Night;12;3.964;0;0;-3.633;0.024;0.024;10.246;1.251;0;0;0.527
"R25707";2018;Night;12;4.251;0;0;-4.07;0.012;0.012;10.264;1.251;0;0;0.464
"R25708";2018;Night;12;4.56;0;0;-4.529;0.007;0.007;10.274;1.251;0;0;0.436
"R25709";2018;Night;12;4.664;0;0;-4.819;0.006;0.006;10.281;1.253;0;0;0.747
"R25710";2018;Night;12;4.43;0;0;-4.746;0.004;0.004;10.287;1.254;0;0;0.944
"R25711";2018;Night;12;4.066;0;0;-4.681;0.004;0.004;10.292;1.254;0;0;0.953
"R25712";2018;Night;12;3.627;0;0;-4.395;0.005;0.005;10.297;1.254;0;0;0.982
"R25713";2018;Day;12;3.343;0.003;0.003;-4.138;0.006;0.006;10.303;1.254;4.394;24.478;0.995
"R25714";2018;Day;12;3.07;0.004;0.011;-3.623;0.009;0.009;10.311;1.253;17.797;112.36;0.996
"R25715";2018;Day;12;2.852;0.003;0.014;-3.098;0.013;0.013;10.323;1.252;22.296;167.999;0.996
"R25716";2018;Day;12;2.831;0.002;0.014;-2.781;0.019;0.019;10.336;1.249;21.574;180.449;0.996
"R25717";2018;Day;12;2.432;0.002;0.009;-2.524;0.031;0.031;10.361;1.247;14.286;148.844;0.995
"R25718";2018;Day;12;2.948;0.001;0.003;-2.608;0.048;0.048;10.399;1.245;5.61;75.336;0.995
"R25719";2018;Day;12;3.68;0;0;-2.839;0.138;0.136;10.489;1.244;0.112;3.083;0.995
"R25720";2018;Night;12;4.304;0;0;-2.856;0.461;0.459;10.778;1.242;0;0;0.994
"R25721";2018;Night;12;4.895;0;0;-2.721;0.865;0.863;11.491;1.24;0;0;0.991
"R25722";2018;Night;12;5.46;0;0;-2.478;0.906;0.904;12.399;1.237;0;0;0.99
"R25723";2018;Night;12;5.505;0;0;-2.249;0.85;0.847;13.264;1.235;0;0;0.994
"R25724";2018;Night;12;5.73;0;0;-2.077;0.845;0.841;14.106;1.233;0;0;0.995
"R25725";2018;Night;12;5.969;0;0;-1.941;1.01;1.004;15.009;1.231;0;0;0.995
"R25726";2018;Night;12;6.069;0;0;-1.879;1.206;1.199;16.138;1.23;0;0;0.995
"R25727";2018;Night;12;6.053;0;0;-1.899;1.197;1.193;17.322;1.229;0;0;0.995
"R25728";2018;Night;12;5.952;0;0;-1.943;1.195;1.193;18.494;1.228;0;0;0.996
"R25729";2018;Night;12;5.899;0;0;-2.021;1.234;1.231;19.691;1.227;0;0;0.996
"R25730";2018;Night;12;5.876;0;0;-2.13;1.241;1.235;20.91;1.227;0;0;0.995
"R25731";2018;Night;12;5.756;0;0;-2.267;1.238;1.231;22.132;1.227;0;0;0.987
"R25732";2018;Night;12;5.618;0;0;-2.422;1.1;1.096;23.294;1.227;0;0;0.97
"R25733";2018;Night;12;5.565;0;0;-2.582;0.792;0.792;24.215;1.227;0;0;0.968
"R25734";2018;Night;12;5.384;0;0;-2.755;0.507;0.507;24.822;1.228;0;0;0.944
"R25735";2018;Night;12;5.218;0;0;-2.993;0.255;0.255;25.184;1.228;0;0;0.867
"R25736";2018;Night;12;5.141;0;0;-3.464;0.087;0.087;25.331;1.229;0;0;0.563
"R25737";2018;Day;12;5.083;0.013;0.003;-4.731;0.026;0.026;25.381;1.229;5.839;22.784;0.334
"R25738";2018;Day;12;4.517;0.08;0.024;-5.265;0.01;0.01;25.401;1.229;43.438;109.713;0.317
"R25739";2018;Day;12;3.917;0.14;0.039;-4.673;0.005;0.004;25.409;1.228;74.48;165.329;0.54
"R25740";2018;Day;12;3.367;0.108;0.04;-3.882;0.006;0.003;25.413;1.227;73.467;177.772;0.722
"R25741";2018;Day;12;2.821;0.071;0.03;-3.384;0.016;0.01;25.423;1.225;53.672;146.177;0.689
"R25742";2018;Day;12;2.902;0.039;0.013;-3.653;0.094;0.081;25.469;1.224;22.225;72.742;0.574
"R25743";2018;Day;12;4.046;0.001;0;-5.152;0.155;0.139;25.592;1.223;0.426;2.539;0.53
"R25744";2018;Night;12;4.981;0;0;-6.372;0.187;0.174;25.749;1.223;0;0;0.612
"R25745";2018;Night;12;5.464;0;0;-6.444;0.301;0.292;25.993;1.224;0;0;0.702
"R25746";2018;Night;12;5.408;0;0;-6.119;0.345;0.338;26.317;1.225;0;0;0.762
"R25747";2018;Night;12;5.426;0;0;-6.23;0.331;0.326;26.65;1.225;0;0;0.785
"R25748";2018;Night;12;5.642;0;0;-6.386;0.257;0.253;26.935;1.226;0;0;0.792
"R25749";2018;Night;12;5.882;0;0;-6.318;0.163;0.16;27.134;1.228;0;0;0.772
"R25750";2018;Night;12;5.969;0;0;-6.387;0.082;0.08;27.247;1.229;0;0;0.764
"R25751";2018;Night;12;6.057;0;0;-6.714;0.03;0.03;27.292;1.23;0;0;0.864
"R25752";2018;Night;12;6.145;0;0;-6.889;0.018;0.018;27.311;1.231;0;0;0.905
"R25753";2018;Night;12;6.107;0;0;-6.854;0.021;0.021;27.328;1.231;0;0;0.936
"R25754";2018;Night;12;6.033;0;0;-6.769;0.03;0.03;27.35;1.231;0;0;0.979
"R25755";2018;Night;12;6.039;0;0;-6.646;0.052;0.052;27.389;1.23;0;0;0.987
"R25756";2018;Night;12;6.282;0;0;-6.367;0.079;0.079;27.456;1.229;0;0;0.991
"R25757";2018;Night;12;6.556;0;0;-5.766;0.078;0.078;27.536;1.227;0;0;0.993
"R25758";2018;Night;12;6.817;0;0;-4.941;0.046;0.046;27.593;1.224;0;0;0.992
"R25759";2018;Night;12;7.181;0;0;-4.383;0.024;0.023;27.617;1.221;0;0;0.985
"R25760";2018;Night;12;7.625;0;0;-3.895;0.015;0.014;27.623;1.219;0;0;0.99
"R25761";2018;Day;12;7.903;0.003;0.002;-3.296;0.013;0.013;27.622;1.217;3.482;21.256;0.992
"R25762";2018;Day;12;7.672;0.012;0.015;-2.437;0.008;0.007;27.607;1.217;23.831;107.271;0.986
"R25763";2018;Day;12;7.5;0.028;0.029;-1.779;0.002;0.002;27.574;1.217;47.073;162.831;0.977
"R25764";2018;Day;12;7.348;0.061;0.037;-1.341;0;0;27.526;1.217;63.019;175.281;0.938
"R25765";2018;Day;12;7.398;0.106;0.033;-1.302;0;0;27.475;1.218;60.15;143.73;0.634
"R25766";2018;Day;12;7.34;0.088;0.015;-1.804;0;0;27.445;1.221;27.836;70.336;0.239
"R25767";2018;Day;12;7.45;0.001;0;-2.609;0;0;27.44;1.226;0.453;2.083;0.16
"R25768";2018;Night;12;7.429;0;0;-3.008;0;0;27.44;1.23;0;0;0.163
"R25769";2018;Night;12;7.419;0;0;-3.264;0;0;27.436;1.233;0;0;0.186
"R25770";2018;Night;12;7.585;0;0;-3.434;0;0;27.428;1.235;0;0;0.208
"R25771";2018;Night;12;7.54;0;0;-3.451;0;0;27.416;1.236;0;0;0.223
"R25772";2018;Night;12;7.297;0;0;-3.629;0.001;0.001;27.409;1.239;0;0;0.233
"R25773";2018;Night;12;7.326;0;0;-3.795;0.001;0.001;27.404;1.24;0;0;0.243
"R25774";2018;Night;12;7.34;0;0;-3.906;0.001;0.001;27.399;1.242;0;0;0.281
"R25775";2018;Night;12;7.325;0;0;-3.977;0.001;0.001;27.392;1.243;0;0;0.285
"R25776";2018;Night;12;7.288;0;0;-4.043;0.001;0.001;27.387;1.243;0;0;0.284
"R25777";2018;Night;12;7.209;0;0;-4.067;0.002;0.002;27.382;1.244;0;0;0.356
"R25778";2018;Night;12;7.183;0;0;-3.97;0.003;0.003;27.378;1.244;0;0;0.388
"R25779";2018;Night;12;7.211;0;0;-3.769;0.002;0.002;27.375;1.243;0;0;0.538
"R25780";2018;Night;12;7.191;0;0;-3.308;0.003;0.003;27.366;1.242;0;0;0.712
"R25781";2018;Night;12;7.478;0;0;-2.686;0.007;0.007;27.35;1.239;0;0;0.713
"R25782";2018;Night;12;7.814;0;0;-1.939;0.022;0.022;27.328;1.236;0;0;0.768
"R25783";2018;Night;12;7.818;0;0;-1.384;0.063;0.055;27.298;1.234;0;0;0.85
"R25784";2018;Night;12;7.904;0;0;-0.86;0.138;0.107;27.274;1.233;0;0;0.886
"R25785";2018;Day;12;8.204;0.002;0.001;-0.391;0.236;0.168;27.288;1.232;2.471;19.882;0.904
"R25786";2018;Day;12;8.67;0.005;0.01;-0.12;0.209;0.083;27.248;1.232;16.648;104.968;0.913
"R25787";2018;Day;12;8.838;0.01;0.02;-0.021;0.082;0.024;27.087;1.232;32.145;160.561;0.83
"R25788";2018;Day;12;8.953;0.043;0.034;0.05;0.01;0.004;26.716;1.233;57.372;172.969;0.481
"R25789";2018;Day;12;8.985;0.125;0.034;0.075;0.002;0;25.634;1.234;62.986;141.48;0.216
"R25790";2018;Day;12;8.963;0.084;0.015;0.019;0.003;0;24.889;1.236;26.987;68.087;0.117
"R25791";2018;Day;12;9.025;0.001;0;-0.204;0.01;0;24.639;1.238;0.367;1.701;0.135
"R25792";2018;Night;12;8.991;0;0;-0.403;0.015;0.001;24.47;1.24;0;0;0.125
"R25793";2018;Night;12;8.834;0;0;-0.556;0.019;0.001;24.329;1.243;0;0;0.151
"R25794";2018;Night;12;8.661;0;0;-0.662;0.015;0.001;24.212;1.244;0;0;0.216
"R25795";2018;Night;12;8.485;0;0;-0.699;0.001;0.001;24.107;1.246;0;0;0.292
"R25796";2018;Night;12;8.325;0;0;-0.711;0.001;0;24.008;1.247;0;0;0.328
"R25797";2018;Night;12;8.208;0;0;-0.798;0;0;23.912;1.249;0;0;0.274
"R25798";2018;Night;12;8.142;0;0;-0.981;0;0;23.825;1.252;0;0;0.189
"R25799";2018;Night;12;8.11;0;0;-1.204;0;0;23.752;1.254;0;0;0.164
"R25800";2018;Night;12;8.002;0;0;-1.4;0;0;23.694;1.256;0;0;0.105
"R25801";2018;Night;12;7.93;0;0;-1.565;0;0;23.655;1.258;0;0;0.053
"R25802";2018;Night;12;7.899;0;0;-1.677;0;0;23.625;1.259;0;0;0.044
"R25803";2018;Night;12;7.864;0;0;-1.757;0;0;23.6;1.261;0;0;0.037
"R25804";2018;Night;12;7.832;0;0;-1.84;0;0;23.578;1.262;0;0;0.033
"R25805";2018;Night;12;7.816;0;0;-1.901;0;0;23.559;1.263;0;0;0.036
"R25806";2018;Night;12;7.76;0;0;-2.009;0;0;23.542;1.264;0;0;0.039
"R25807";2018;Night;12;7.724;0;0;-2.157;0;0;23.53;1.265;0;0;0.037
"R25808";2018;Night;12;7.702;0;0;-2.388;0;0;23.524;1.267;0;0;0.033
"R25809";2018;Day;12;7.731;0.028;0.003;-2.748;0;0;23.522;1.269;6.074;18.656;0.031
"R25810";2018;Day;12;7.518;0.16;0.023;-2.578;0;0;23.513;1.27;47.354;102.864;0.032
"R25811";2018;Day;12;7.453;0.277;0.035;-1.795;0;0;23.477;1.269;82.976;158.436;0.033
"R25812";2018;Day;12;6.513;0.309;0.038;-1.345;0;0;23.423;1.269;91.576;170.844;0.031
"R25813";2018;Day;12;6.492;0.258;0.031;-1.402;0;0;23.389;1.27;70.624;139.355;0.028
"R25814";2018;Day;12;7.112;0.127;0.014;-1.953;0;0;23.371;1.27;27.477;66.029;0.024
"R25815";2018;Day;12;7.699;0.002;0;-2.991;0;0;23.372;1.272;0.307;1.387;0.02
"R25816";2018;Night;12;7.656;0;0;-3.958;0;0;23.378;1.274;0;0;0.017
"R25817";2018;Night;12;7.561;0;0;-4.721;0;0;23.385;1.277;0;0;0.014
"R25818";2018;Night;12;7.473;0;0;-5.389;0;0;23.391;1.281;0;0;0.013
"R25819";2018;Night;12;7.376;0;0;-5.825;0.001;0.001;23.398;1.284;0;0;0.011
"R25820";2018;Night;12;7.295;0;0;-6.274;0;0;23.405;1.287;0;0;0.009
"R25821";2018;Night;12;7.204;0;0;-6.785;0;0;23.411;1.289;0;0;0.008
"R25822";2018;Night;12;7.041;0;0;-7.475;0;0;23.418;1.292;0;0;0.008
"R25823";2018;Night;12;6.954;0;0;-8.215;0.001;0.001;23.427;1.295;0;0;0.008
"R25824";2018;Night;12;6.972;0;0;-8.923;0.001;0.001;23.436;1.297;0;0;0.008
"R25825";2018;Night;12;6.943;0;0;-9.505;0.037;0.037;23.467;1.299;0;0;0.008
"R25826";2018;Night;12;6.941;0;0;-9.959;0.041;0.041;23.516;1.301;0;0;0.007
"R25827";2018;Night;12;7.005;0;0;-10.283;0.046;0.046;23.569;1.303;0;0;0.007
"R25828";2018;Night;12;6.898;0;0;-10.524;0.009;0.009;23.603;1.304;0;0;0.006
"R25829";2018;Night;12;6.641;0;0;-10.714;0.008;0.008;23.62;1.305;0;0;0.005
"R25830";2018;Night;12;6.437;0;0;-10.935;0.007;0.007;23.635;1.305;0;0;0.003
"R25831";2018;Night;12;6.282;0;0;-11.044;0.004;0.004;23.647;1.306;0;0;0.002
"R25832";2018;Night;12;6.164;0;0;-11.165;0.001;0.001;23.657;1.307;0;0;0.001
"R25833";2018;Day;12;6.05;0.034;0.003;-11.239;0.001;0.001;23.665;1.308;6.095;17.554;0.001
"R25834";2018;Day;12;5.984;0.2;0.022;-10.652;0.001;0.001;23.671;1.309;49.023;100.937;0.001
"R25835";2018;Day;12;5.891;0.335;0.034;-9.29;0.001;0.001;23.675;1.308;86.149;156.456;0.001
"R25836";2018;Day;12;5.518;0.371;0.036;-7.909;0.002;0.002;23.673;1.307;95.051;168.906;0.002
"R25837";2018;Day;12;5.383;0.309;0.03;-7.561;0.002;0.002;23.67;1.307;72.96;137.427;0.002
"R25838";2018;Day;12;5.579;0.151;0.014;-8.64;0.003;0.003;23.674;1.307;27.865;64.139;0.022
"R25839";2018;Day;12;5.727;0.002;0;-10.262;0.004;0.004;23.682;1.308;0.259;1.13;0.171
"R25840";2018;Night;12;5.771;0;0;-11.395;0.005;0.005;23.692;1.31;0;0;0.355
"R25841";2018;Night;12;5.81;0;0;-12.28;0.009;0.009;23.704;1.313;0;0;0.46
"R25842";2018;Night;12;5.852;0;0;-13.032;0.026;0.026;23.729;1.317;0;0;0.507
"R25843";2018;Night;12;5.921;0;0;-13.735;0;0;23.747;1.321;0;0;0.486
"R25844";2018;Night;12;6.047;0;0;-14.344;0.001;0.001;23.754;1.324;0;0;0.395
"R25845";2018;Night;12;6.224;0;0;-14.799;0.004;0.004;23.764;1.327;0;0;0.319
"R25846";2018;Night;12;6.429;0;0;-14.842;0.006;0.006;23.776;1.33;0;0;0.302
"R25847";2018;Night;12;6.571;0;0;-13.989;0.011;0.011;23.793;1.332;0;0;0.416
"R25848";2018;Night;12;5.964;0;0;-12.827;0.018;0.018;23.815;1.333;0;0;0.496
"R25849";2018;Night;12;5.427;0;0;-12.357;0.02;0.02;23.837;1.332;0;0;0.537
"R25850";2018;Night;12;5.475;0;0;-12.08;0.02;0.02;23.858;1.332;0;0;0.585
"R25851";2018;Night;12;5.538;0;0;-11.692;0.02;0.02;23.878;1.331;0;0;0.635
"R25852";2018;Night;12;5.485;0;0;-11.286;0.022;0.022;23.9;1.331;0;0;0.639
"R25853";2018;Night;12;5.387;0;0;-11.003;0.021;0.021;23.922;1.331;0;0;0.645
"R25854";2018;Night;12;5.34;0;0;-11.074;0.021;0.021;23.944;1.332;0;0;0.653
"R25855";2018;Night;12;5.326;0;0;-11.21;0.024;0.024;23.967;1.333;0;0;0.642
"R25856";2018;Night;12;5.327;0;0;-11.389;0.025;0.025;23.993;1.334;0;0;0.65
"R25857";2018;Day;12;5.318;0.005;0.002;-11.547;0.025;0.025;24.018;1.336;3.393;16.591;0.639
"R25858";2018;Day;12;5.192;0.024;0.017;-11.095;0.024;0.024;24.041;1.336;28.351;99.182;0.642
"R25859";2018;Day;12;4.601;0.043;0.03;-10.263;0.022;0.022;24.052;1.334;51.365;154.706;0.631
"R25860";2018;Day;12;4.266;0.052;0.034;-9.665;0.02;0.02;24.058;1.331;58.453;167.156;0.62
"R25861";2018;Day;12;4.26;0.045;0.027;-9.256;0.018;0.018;24.065;1.328;45.324;135.688;0.608
"R25862";2018;Day;12;4.703;0.024;0.01;-9.353;0.016;0.016;24.077;1.327;17.342;62.435;0.585
"R25863";2018;Day;12;5.494;0;0;-10.198;0.014;0.014;24.093;1.327;0.139;0.923;0.566
"R25864";2018;Night;12;5.928;0;0;-10.876;0.013;0.013;24.109;1.328;0;0;0.553
"R25865";2018;Night;12;5.986;0;0;-11.124;0.013;0.013;24.125;1.33;0;0;0.555
"R25866";2018;Night;12;5.755;0;0;-11.275;0.014;0.014;24.139;1.332;0;0;0.573
"R25867";2018;Night;12;5.632;0;0;-11.541;0.017;0.017;24.155;1.333;0;0;0.588
"R25868";2018;Night;12;5.624;0;0;-11.713;0.017;0.017;24.172;1.334;0;0;0.581
"R25869";2018;Night;12;5.604;0;0;-11.879;0.017;0.017;24.189;1.334;0;0;0.571
"R25870";2018;Night;12;5.611;0;0;-12.038;0.016;0.016;24.205;1.335;0;0;0.581
"R25871";2018;Night;12;5.643;0;0;-12.148;0.016;0.016;24.221;1.336;0;0;0.594
"R25872";2018;Night;12;5.663;0;0;-12.232;0.016;0.016;24.237;1.337;0;0;0.594
"R25873";2018;Night;12;5.593;0;0;-12.34;0.014;0.014;24.252;1.337;0;0;0.57
"R25874";2018;Night;12;5.522;0;0;-12.508;0.011;0.011;24.265;1.337;0;0;0.517
"R25875";2018;Night;12;5.529;0;0;-12.902;0.009;0.009;24.277;1.338;0;0;0.485
"R25876";2018;Night;12;5.591;0;0;-13.327;0.007;0.007;24.287;1.338;0;0;0.423
"R25877";2018;Night;12;5.739;0;0;-13.957;0.006;0.006;24.297;1.338;0;0;0.394
"R25878";2018;Night;12;5.785;0;0;-14.392;0.007;0.007;24.308;1.338;0;0;0.371
"R25879";2018;Night;12;5.813;0;0;-14.57;0.008;0.008;24.319;1.339;0;0;0.345
"R25880";2018;Night;12;5.796;0;0;-14.669;0.008;0.008;24.331;1.34;0;0;0.336
"R25881";2018;Day;12;5.766;0.016;0.003;-14.722;0.007;0.007;24.342;1.341;4.678;15.744;0.321
"R25882";2018;Day;12;5.65;0.099;0.021;-14.039;0.005;0.005;24.351;1.342;39.789;97.62;0.307
"R25883";2018;Day;12;5.063;0.178;0.035;-12.754;0.002;0.002;24.351;1.342;71.675;153.134;0.238
"R25884";2018;Day;12;4.407;0.226;0.038;-11.861;0.001;0.001;24.346;1.341;82.298;165.584;0.116
"R25885";2018;Day;12;4.158;0.206;0.031;-11.901;0.001;0.001;24.344;1.34;65.125;134.125;0.18
"R25886";2018;Day;12;4.396;0.081;0.012;-13.01;0.002;0.002;24.346;1.339;22.961;60.906;0.254
"R25887";2018;Day;12;4.481;0.001;0;-14.219;0.004;0.004;24.351;1.34;0.146;0.76;0.354
"R25888";2018;Night;12;4.216;0;0;-14.514;0.006;0.006;24.358;1.34;0;0;0.407
"R25889";2018;Night;12;3.931;0;0;-14.373;0.006;0.006;24.366;1.341;0;0;0.457
"R25890";2018;Night;12;3.778;0;0;-14.235;0.005;0.005;24.373;1.341;0;0;0.507
"R25891";2018;Night;12;3.767;0;0;-14.072;0.006;0.006;24.38;1.341;0;0;0.525
"R25892";2018;Night;12;3.892;0;0;-13.889;0.008;0.008;24.388;1.34;0;0;0.569
"R25893";2018;Night;12;4.11;0;0;-13.701;0.011;0.011;24.4;1.34;0;0;0.601
"R25894";2018;Night;12;4.253;0;0;-13.323;0.014;0.014;24.416;1.341;0;0;0.603
"R25895";2018;Night;12;4.632;0;0;-13.472;0.018;0.018;24.435;1.341;0;0;0.603
"R25896";2018;Night;12;4.82;0;0;-13.414;0.02;0.02;24.457;1.342;0;0;0.618
"R25897";2018;Night;12;4.377;0;0;-13.053;0.021;0.021;24.479;1.343;0;0;0.607
"R25898";2018;Night;12;4.455;0;0;-13.226;0.02;0.02;24.501;1.343;0;0;0.579
"R25899";2018;Night;12;4.619;0;0;-13.562;0.02;0.02;24.523;1.344;0;0;0.565
"R25900";2018;Night;12;4.871;0;0;-13.883;0.017;0.017;24.543;1.344;0;0;0.519
"R25901";2018;Night;12;5.127;0;0;-14.192;0.014;0.014;24.559;1.345;0;0;0.452
"R25902";2018;Night;12;5.435;0;0;-14.589;0.01;0.01;24.572;1.346;0;0;0.402
"R25903";2018;Night;12;5.528;0;0;-14.72;0.01;0.01;24.585;1.348;0;0;0.456
"R25904";2018;Night;12;5.537;0;0;-14.784;0.015;0.015;24.599;1.35;0;0;0.532
"R25905";2018;Day;12;5.32;0.006;0.002;-14.664;0.019;0.019;24.617;1.351;3.388;15.013;0.564
"R25906";2018;Day;12;5.071;0.028;0.017;-13.864;0.021;0.021;24.636;1.35;28.821;96.218;0.563
"R25907";2018;Day;12;4.422;0.043;0.03;-12.708;0.02;0.02;24.649;1.346;50.51;151.749;0.568
"R25908";2018;Day;12;4.114;0.05;0.033;-11.771;0.017;0.017;24.659;1.341;56.681;164.209;0.535
"R25909";2018;Day;12;4.221;0.04;0.025;-11.205;0.019;0.019;24.67;1.337;43.033;132.75;0.52
"R25910";2018;Day;12;4.768;0.018;0.009;-11.207;0.024;0.024;24.69;1.334;15.068;59.552;0.504
"R25911";2018;Day;12;5.362;0;0;-11.689;0.039;0.039;24.724;1.334;0.07;0.628;0.535
"R25912";2018;Night;12;5.631;0;0;-11.936;0.047;0.047;24.771;1.332;0;0;0.561
"R25913";2018;Night;12;5.819;0;0;-11.485;0.063;0.063;24.828;1.328;0;0;0.582
"R25914";2018;Night;12;5.711;0;0;-11.019;0.08;0.08;24.903;1.325;0;0;0.594
"R25915";2018;Night;12;5.864;0;0;-10.646;0.088;0.088;24.99;1.322;0;0;0.608
"R25916";2018;Night;12;6.097;0;0;-10.163;0.075;0.075;25.075;1.319;0;0;0.583
"R25917";2018;Night;12;6.489;0;0;-9.496;0.058;0.058;25.146;1.316;0;0;0.558
"R25918";2018;Night;12;6.242;0;0;-8.629;0.042;0.042;25.203;1.314;0;0;0.565
"R25919";2018;Night;12;5.624;0;0;-8.215;0.039;0.039;25.25;1.312;0;0;0.606
"R25920";2018;Night;12;6.257;0;0;-7.656;0.048;0.048;25.302;1.308;0;0;0.665
"R25921";2018;Night;12;6.34;0;0;-7.04;0.067;0.067;25.366;1.305;0;0;0.674
"R25922";2018;Night;12;5.912;0;0;-6.683;0.097;0.097;25.455;1.302;0;0;0.691
"R25923";2018;Night;12;5.991;0;0;-6.398;0.116;0.116;25.567;1.3;0;0;0.68
"R25924";2018;Night;12;5.783;0;0;-6.086;0.116;0.116;25.688;1.297;0;0;0.681
"R25925";2018;Night;12;5.585;0;0;-5.96;0.112;0.111;25.806;1.296;0;0;0.678
"R25926";2018;Night;12;6.428;0;0;-5.512;0.102;0.102;25.916;1.292;0;0;0.662
"R25927";2018;Night;12;6.605;0;0;-4.954;0.09;0.089;26.014;1.289;0;0;0.67
"R25928";2018;Night;12;6.144;0;0;-4.598;0.074;0.073;26.098;1.287;0;0;0.662
"R25929";2018;Day;12;6.156;0.002;0.001;-4.456;0.062;0.062;26.169;1.286;2.177;14.39;0.641
"R25930";2018;Day;12;5.918;0.011;0.013;-3.944;0.06;0.06;26.231;1.284;21.407;95.026;0.627
"R25931";2018;Day;12;5.454;0.02;0.025;-3.648;0.055;0.055;26.285;1.282;40.669;150.519;0.593
"R25932";2018;Day;12;5.48;0.025;0.029;-3.339;0.05;0.05;26.33;1.28;47.375;162.98;0.553
"R25933";2018;Day;12;5.365;0.022;0.022;-3.18;0.049;0.049;26.373;1.278;36.688;131.558;0.566
"R25934";2018;Day;12;5.801;0.009;0.007;-3.125;0.054;0.054;26.425;1.276;12.187;58.39;0.601
"R25935";2018;Day;12;6.156;0;0;-3.194;0.06;0.06;26.485;1.275;0.054;0.527;0.621
"R25936";2018;Night;12;6.114;0;0;-3.324;0.074;0.073;26.554;1.275;0;0;0.696
"R25937";2018;Night;12;6.228;0;0;-3.616;0.092;0.092;26.64;1.275;0;0;0.777
"R25938";2018;Night;12;5.8;0;0;-3.577;0.118;0.118;26.751;1.275;0;0;0.799
"R25939";2018;Night;12;5.455;0;0;-3.612;0.125;0.125;26.878;1.275;0;0;0.882
"R25940";2018;Night;12;5.424;0;0;-3.676;0.13;0.13;27.01;1.275;0;0;0.94
"R25941";2018;Night;12;5.203;0;0;-3.791;0.128;0.128;27.144;1.275;0;0;0.978
